Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-05-04,BPCL,EQ,370.0,362.0,362.0,341.55,347.7,347.9,349.45,7255215,253536807530000.03,93402.0,3003685.0,0.414
2020-05-05,BPCL,EQ,347.9,354.0,364.2,345.25,347.0,347.05,354.71,13178660,467466580480000.0,128029.0,4496252.0,0.3412
2020-05-06,BPCL,EQ,347.05,321.25,346.45,312.35,342.5,343.8,331.45,20680651,685460931050000.0,267165.0,4044922.0,0.1956
2020-05-07,BPCL,EQ,343.8,342.0,342.0,328.2,329.2,329.55,332.33,8550734,284169464050000.0,139483.0,2010497.0,0.23510000000000003
2020-05-08,BPCL,EQ,329.55,333.0,336.3,321.2,324.0,324.75,325.76,8499703,276889455330000.03,159990.0,3014917.0,0.3547
2020-05-11,BPCL,EQ,324.75,326.0,330.35,311.3,314.5,314.8,317.37,10688017,339204502200000.0,166412.0,4545040.0,0.4252
2020-05-12,BPCL,EQ,314.8,310.5,319.8,308.6,312.35,312.5,312.73,8311620,259930156530000.03,133538.0,2392528.0,0.2879
2020-05-13,BPCL,EQ,312.5,324.0,324.4,312.75,316.0,316.55,317.73,7620987,242137934194999.97,118103.0,2791093.0,0.36619999999999997
2020-05-14,BPCL,EQ,316.55,313.45,316.35,307.25,309.05,309.7,311.11,4832186,150335195920000.0,80087.0,1461060.0,0.3024
2020-05-15,BPCL,EQ,309.7,313.0,324.35,311.1,317.8,318.2,319.61,13883667,443735778339999.94,169504.0,2411054.0,0.17370000000000002
2020-05-18,BPCL,EQ,318.2,320.55,321.5,291.85,295.05,294.05,302.56,10189450,308293574615000.0,131992.0,2902706.0,0.2849
2020-05-19,BPCL,EQ,294.05,301.5,304.4,291.8,294.15,293.3,296.81,6022950,178765607410000.0,84226.0,1406765.0,0.2336
2020-05-20,BPCL,EQ,293.3,294.0,311.4,292.05,310.0,308.9,305.21,8671114,264647833369999.97,116181.0,1573578.0,0.1815
2020-05-21,BPCL,EQ,308.9,310.0,316.0,301.6,312.35,313.2,310.06,7465658,231480036994999.97,95861.0,965228.0,0.1293
2020-05-22,BPCL,EQ,313.2,311.0,324.0,307.25,313.5,315.2,316.49,8539075,270257253475000.0,115053.0,2072938.0,0.24280000000000002
2020-05-26,BPCL,EQ,315.2,315.0,320.9,312.05,313.0,313.15,316.73,6106561,193413738870000.0,85801.0,1921897.0,0.3147
2020-05-27,BPCL,EQ,313.15,316.8,331.4,312.75,329.0,329.45,323.11,9065338,292909216995000.0,113770.0,1675627.0,0.18480000000000002
2020-05-28,BPCL,EQ,329.45,333.9,334.35,320.3,329.0,326.45,325.41,9276773,301874087470000.0,103847.0,2445241.0,0.2636
2020-05-29,BPCL,EQ,326.45,328.0,347.15,326.0,340.35,342.8,337.16,13361361,450498022650000.0,170008.0,4076863.0,0.30510000000000004
2020-06-01,BPCL,EQ,342.8,344.3,356.7,340.1,345.95,346.3,349.3,10211763,356692184630000.0,134195.0,2817801.0,0.2759
2020-06-02,BPCL,EQ,346.3,348.0,348.0,337.3,341.5,341.6,341.52,6319742,215832052110000.0,89031.0,1776748.0,0.2811
2020-06-03,BPCL,EQ,341.6,344.0,353.95,339.2,347.9,349.05,348.18,10084092,351110859675000.0,118120.0,1896628.0,0.1881
2020-06-04,BPCL,EQ,349.05,342.0,359.4,339.0,356.4,357.25,352.84,16390486,578324379485000.0,218522.0,2359358.0,0.1439
2020-06-05,BPCL,EQ,357.25,356.65,372.5,352.2,371.0,369.6,363.5,10985291,399315133655000.0,161766.0,1807152.0,0.1645
2020-06-08,BPCL,EQ,369.6,379.6,398.5,376.6,395.6,394.1,391.2,14791948,578660289810000.0,209752.0,3572704.0,0.2415
2020-06-09,BPCL,EQ,394.1,400.0,402.05,379.45,380.5,381.5,387.58,9822059,380686411265000.0,150892.0,2339013.0,0.23809999999999998
2020-06-10,BPCL,EQ,381.5,384.35,384.35,372.95,379.5,378.95,377.28,7491697,282648775495000.0,132552.0,2566944.0,0.34259999999999996
2020-06-11,BPCL,EQ,378.95,378.0,386.5,368.0,371.2,370.05,379.1,8482947,321590119295000.0,134762.0,1564060.0,0.1844
2020-06-12,BPCL,EQ,370.05,355.25,376.9,355.25,373.4,373.9,371.98,7819097,290855876175000.0,106497.0,660843.0,0.08449999999999999
2020-06-15,BPCL,EQ,373.9,373.9,373.95,356.5,361.2,361.0,363.7,6527306,237396881544999.97,87670.0,2352815.0,0.3605
2020-06-16,BPCL,EQ,361.0,369.8,372.15,356.65,359.65,359.75,364.4,5735208,208989875235000.0,78768.0,1271113.0,0.22160000000000002
2020-06-17,BPCL,EQ,359.75,359.75,366.5,356.75,364.65,364.6,362.77,5020923,182146404870000.0,63595.0,1665683.0,0.33170000000000005
2020-06-18,BPCL,EQ,364.6,364.1,376.45,359.75,371.0,370.25,368.99,6150988,226967924300000.0,85982.0,1747428.0,0.2841
2020-06-19,BPCL,EQ,370.25,372.0,384.5,371.0,381.55,380.55,379.31,6635776,251700669919999.97,83052.0,2322659.0,0.35000000000000003
2020-06-22,BPCL,EQ,380.55,383.0,389.4,379.65,384.9,385.15,385.28,10396922,400571181710000.0,102464.0,4296155.0,0.4132
2020-06-23,BPCL,EQ,385.15,386.0,392.9,382.25,391.85,392.0,389.0,4173259,162340606465000.0,48640.0,491477.0,0.3295
2020-06-24,BPCL,EQ,392.0,392.0,394.4,375.0,379.0,378.55,384.15,4059366,155940867350000.0,71104.0,1211138.0,0.2984
2020-06-25,BPCL,EQ,378.55,378.0,384.3,367.3,372.0,370.25,374.06,6697152,250513856075000.0,81538.0,1809088.0,0.2701
2020-06-26,BPCL,EQ,370.25,376.4,396.95,373.0,394.3,393.65,389.32,12188087,474509683080000.0,132703.0,2175716.0,0.17850000000000002
2020-06-29,BPCL,EQ,393.65,392.9,395.6,378.35,383.0,383.35,384.86,6012401,231392270425000.0,72313.0,1576874.0,0.26230000000000003
2020-06-30,BPCL,EQ,383.35,386.9,389.25,372.2,373.75,374.0,379.11,4509122,170945593340000.0,62456.0,1450079.0,0.3216
2020-07-01,BPCL,EQ,374.0,377.0,383.4,374.1,380.2,380.15,379.68,5182894,196782912955000.0,65404.0,817412.0,0.1577
2020-07-02,BPCL,EQ,380.15,382.95,391.35,378.75,384.4,383.5,385.58,6592803,254204419400000.0,73011.0,1527128.0,0.2316
2020-07-03,BPCL,EQ,383.5,387.0,390.55,383.3,384.45,385.4,386.51,3481053,134545787325000.0,41326.0,723258.0,0.2078
2020-07-06,BPCL,EQ,385.4,388.0,396.75,385.4,390.0,390.2,392.65,4963439,194891541970000.0,66616.0,682536.0,0.1375
2020-07-07,BPCL,EQ,390.2,390.25,391.25,377.8,379.6,379.85,380.63,4927059,187537082275000.0,80925.0,1540024.0,0.31260000000000004
2020-07-08,BPCL,EQ,379.85,382.4,387.45,376.15,377.5,378.15,382.17,4223420,161405864245000.0,58936.0,802132.0,0.18989999999999999
2020-07-09,BPCL,EQ,378.15,381.5,381.8,373.1,378.0,376.75,377.25,2851027,107553645375000.0,43273.0,839643.0,0.2945
2020-07-10,BPCL,EQ,376.75,377.85,380.5,370.35,375.75,376.35,374.31,5883057,220208671765000.0,92688.0,2053154.0,0.349
2020-07-13,BPCL,EQ,376.35,378.0,384.2,375.45,379.6,379.95,380.84,5139428,195730076880000.0,81797.0,1827660.0,0.3556
2020-07-14,BPCL,EQ,379.95,379.5,385.9,372.1,373.6,373.75,378.51,4741344,179463496210000.0,76901.0,1098291.0,0.2316
2020-07-15,BPCL,EQ,373.75,377.85,382.35,368.2,369.0,369.6,374.19,4903936,183498491495000.0,57972.0,1082728.0,0.2208
2020-07-16,BPCL,EQ,369.6,372.75,396.25,360.3,395.1,393.9,381.75,13308018,508033735850000.0,138380.0,3333733.0,0.2505
2020-07-17,BPCL,EQ,393.9,404.5,447.4,392.0,442.85,443.8,427.59,53842324,2302230939420000.0,511790.0,8139989.0,0.1512
2020-07-20,BPCL,EQ,443.8,441.0,448.0,435.1,436.35,437.3,440.99,14373074,633833334195000.0,175415.0,1529617.0,0.10640000000000001
2020-07-21,BPCL,EQ,437.3,437.0,481.0,435.4,461.05,464.2,464.7,49145473,2283768097125000.0,478431.0,4356572.0,0.0886
2020-07-22,BPCL,EQ,464.2,464.8,464.95,447.7,449.9,450.6,456.72,12682376,579225630165000.0,130667.0,3216028.0,0.2536
2020-07-23,BPCL,EQ,450.6,446.0,477.4,443.05,455.0,457.55,464.68,36458002,1694124259345000.0,366183.0,3623584.0,0.0994
2020-07-24,BPCL,EQ,457.55,452.0,463.5,445.3,447.9,448.4,451.72,11147582,503555540360000.06,141866.0,2006985.0,0.18
2020-07-27,BPCL,EQ,448.4,454.0,466.6,444.0,457.4,457.7,458.28,20049909,918854694190000.0,200706.0,1683452.0,0.084
2020-07-28,BPCL,EQ,457.7,461.1,473.7,457.0,463.0,461.5,465.71,15094307,702956512660000.0,163650.0,1674198.0,0.1109
2020-07-29,BPCL,EQ,461.5,464.0,467.65,446.8,454.75,453.8,455.65,10040036,457476193645000.0,127382.0,1391467.0,0.1386
2020-07-30,BPCL,EQ,453.8,435.75,439.9,416.15,417.8,419.1,428.12,24528855,1050127957104999.9,248623.0,5991468.0,0.2443
2020-07-31,BPCL,EQ,419.1,421.1,428.0,410.9,414.0,413.8,417.31,11189905,466967285910000.06,149970.0,1981386.0,0.1771
2020-08-03,BPCL,EQ,413.8,414.0,428.25,408.15,416.95,417.8,417.4,14233688,594113772850000.0,193692.0,2416346.0,0.1698
2020-08-04,BPCL,EQ,417.8,418.05,423.0,391.0,407.45,408.55,403.77,25615905,1034282094635000.0,249603.0,3482382.0,0.1359
2020-08-05,BPCL,EQ,408.55,409.9,414.95,405.1,411.1,410.45,410.89,11034807,453409998760000.06,108896.0,2794534.0,0.2532
2020-08-06,BPCL,EQ,410.45,412.0,423.5,406.25,409.9,409.55,415.36,12567310,521997711710000.06,140215.0,1699102.0,0.1352
2020-08-07,BPCL,EQ,409.55,412.5,421.4,411.05,419.5,419.75,416.39,9119146,379716376755000.0,145666.0,2022127.0,0.2217
2020-08-10,BPCL,EQ,419.75,421.0,424.4,413.5,414.85,415.15,418.18,8253021,345125033380000.0,91636.0,1823843.0,0.22100000000000003
2020-08-11,BPCL,EQ,415.15,417.0,433.0,415.6,430.0,429.25,426.64,12767297,544705786250000.0,124367.0,4069461.0,0.31870000000000004
2020-08-12,BPCL,EQ,429.25,430.0,434.1,420.45,423.0,421.8,424.61,9050520,384293456340000.0,111972.0,3155682.0,0.34869999999999995
2020-08-13,BPCL,EQ,421.8,420.0,426.2,416.5,421.9,421.15,421.78,5840867,246357415825000.0,71179.0,1222695.0,0.2093
2020-08-14,BPCL,EQ,421.15,426.0,426.0,408.65,412.8,413.25,417.85,14222739,594304011310000.0,142480.0,4579602.0,0.322
2020-08-17,BPCL,EQ,413.25,418.8,418.8,403.1,407.95,407.9,408.31,11424867,466491030210000.06,137116.0,2968889.0,0.25989999999999996
2020-08-18,BPCL,EQ,407.9,410.0,411.35,401.0,402.8,402.3,404.81,13547515,548410807130000.0,135023.0,3380294.0,0.2495
2020-08-19,BPCL,EQ,402.3,404.9,410.95,397.65,404.5,403.7,405.02,16621434,673195535785000.0,150982.0,2550791.0,0.1535
2020-08-20,BPCL,EQ,403.7,403.7,419.85,400.1,411.8,412.45,411.63,18450091,759470125050000.0,161392.0,3082463.0,0.1671
2020-08-21,BPCL,EQ,412.45,419.0,419.0,408.25,410.9,410.1,414.18,8564067,354710716670000.0,78361.0,1970809.0,0.23010000000000003
2020-08-24,BPCL,EQ,410.1,413.4,416.3,408.6,409.65,409.75,412.04,6543077,269599598685000.0,76960.0,1495058.0,0.2285
2020-08-25,BPCL,EQ,409.75,410.0,419.5,408.35,413.6,412.9,414.83,12509456,518926899900000.0,112664.0,3772729.0,0.30160000000000003
2020-08-26,BPCL,EQ,412.9,414.0,415.8,409.0,410.25,410.1,411.44,5407266,222477046740000.0,51036.0,1899096.0,0.35119999999999996
2020-08-27,BPCL,EQ,410.1,411.6,418.45,409.5,413.4,412.95,414.4,7823398,324201230285000.0,94564.0,2183447.0,0.2791
2020-08-28,BPCL,EQ,412.95,414.5,422.0,413.5,415.5,415.05,417.39,8744341,364978047980000.0,138291.0,2268827.0,0.2595
2020-08-31,BPCL,EQ,415.05,417.5,426.4,403.2,405.75,407.8,415.39,18998962,789189537955000.0,171000.0,5006763.0,0.2635
2020-09-01,BPCL,EQ,407.8,407.95,411.75,400.5,408.75,407.25,405.89,6020207,244353401965000.0,61462.0,1145859.0,0.19030000000000002
2020-09-02,BPCL,EQ,407.25,408.75,415.5,406.4,415.0,413.95,412.05,5153815,212361888340000.0,60360.0,1405501.0,0.2727
2020-09-03,BPCL,EQ,413.95,416.0,418.6,410.3,413.15,413.4,413.68,4397372,181911340085000.0,45779.0,1175609.0,0.26730000000000004
2020-09-04,BPCL,EQ,413.4,409.0,411.0,400.6,404.0,403.35,406.77,4866500,197952847570000.0,71113.0,1009444.0,0.2074
2020-09-07,BPCL,EQ,403.35,411.0,411.0,396.2,400.85,400.2,401.44,8308845,333549008525000.0,123899.0,2083494.0,0.25079999999999997
2020-09-08,BPCL,EQ,400.2,400.5,419.95,399.5,410.8,412.1,412.85,18641462,769605204830000.0,182526.0,2163193.0,0.11599999999999999
2020-09-09,BPCL,EQ,412.1,406.0,409.5,399.0,405.0,405.95,403.87,6735586,272029608844999.97,83758.0,1178715.0,0.17500000000000002
2020-09-10,BPCL,EQ,405.95,408.5,433.5,405.5,430.4,430.3,423.54,25417582,1076543457415000.0,260807.0,4581098.0,0.1802
2020-09-11,BPCL,EQ,430.3,431.0,436.0,422.35,423.7,428.75,428.73,12584431,539527534420000.0,166199.0,1989842.0,0.15810000000000002
2020-09-14,BPCL,EQ,428.75,425.9,429.5,414.15,415.45,417.15,421.56,6025431,254005654435000.0,70737.0,961283.0,0.1595
2020-09-15,BPCL,EQ,417.15,417.5,425.5,412.45,413.8,414.4,416.65,8334021,347240884005000.0,92033.0,1532168.0,0.1838
2020-09-16,BPCL,EQ,414.4,415.0,420.5,411.4,414.4,413.05,414.83,5000998,207454750820000.0,53817.0,976284.0,0.1952
2020-09-17,BPCL,EQ,413.05,413.0,419.0,411.55,415.5,415.6,415.57,6854834,284869429595000.0,94342.0,2133547.0,0.31120000000000003
2020-09-18,BPCL,EQ,415.6,420.0,422.9,409.6,413.0,412.05,416.09,9555519,397595972120000.0,83083.0,3520927.0,0.3685
2020-09-21,BPCL,EQ,412.05,413.5,415.7,399.05,399.4,401.45,408.93,5853288,239355942994999.97,63438.0,1110781.0,0.1898
