Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-05-04,CIPLA,EQ,589.6,589.0,616.95,580.6,611.5,611.85,608.16,16816196,1022689621425000.0,300922.0,2888660.0,0.1718
2020-05-05,CIPLA,EQ,611.85,623.05,623.05,595.0,597.4,596.9,607.46,9257197,562333382635000.06,141932.0,1515597.0,0.1637
2020-05-06,CIPLA,EQ,596.9,597.5,606.0,590.0,591.45,591.75,595.56,6979140,415648702450000.0,132415.0,1537317.0,0.22030000000000002
2020-05-07,CIPLA,EQ,591.75,598.0,601.8,587.5,591.0,589.55,594.92,4620871,274906263660000.0,99690.0,1005053.0,0.2175
2020-05-08,CIPLA,EQ,589.55,598.0,601.2,589.5,592.55,591.9,593.86,5051381,299981915100000.0,90641.0,1333120.0,0.2639
2020-05-11,CIPLA,EQ,591.9,600.95,600.95,583.45,587.75,586.05,590.66,5853898,345766538410000.0,126091.0,976160.0,0.1668
2020-05-12,CIPLA,EQ,586.05,587.0,593.8,566.2,570.5,570.15,575.39,8868988,510308927930000.0,176690.0,2929411.0,0.33030000000000004
2020-05-13,CIPLA,EQ,570.15,600.0,605.0,568.9,571.5,570.2,576.12,10438684,601392117875000.0,174508.0,2512243.0,0.2407
2020-05-14,CIPLA,EQ,570.2,571.0,577.9,566.1,570.0,569.75,571.23,8546052,488177376539999.94,159643.0,2325110.0,0.2721
2020-05-15,CIPLA,EQ,569.75,572.0,585.0,565.6,566.8,570.3,573.77,14388640,825582249665000.0,184285.0,2105224.0,0.1463
2020-05-18,CIPLA,EQ,570.3,570.6,605.0,570.5,601.75,600.45,590.8,22898149,1352832542325000.0,365585.0,3994819.0,0.1745
2020-05-19,CIPLA,EQ,600.45,600.0,608.8,590.2,593.55,594.95,599.39,10952723,656490874220000.0,156026.0,1201031.0,0.1097
2020-05-20,CIPLA,EQ,594.95,597.0,624.35,595.4,621.0,620.65,612.16,13441070,822812711325000.0,194557.0,2440228.0,0.1816
2020-05-21,CIPLA,EQ,620.65,620.65,626.85,612.3,617.0,616.6,619.17,7916847,490190842595000.0,115197.0,1469214.0,0.1856
2020-05-22,CIPLA,EQ,616.6,616.7,641.85,610.1,637.0,639.35,627.89,10875625,682871577485000.0,147573.0,2106119.0,0.1937
