Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-05-04,GAIL,EQ,95.7,92.2,95.25,89.6,93.6,93.5,92.61,21132743,195720053545000.0,85202.0,7490054.0,0.3544
2020-05-05,GAIL,EQ,93.5,94.5,95.8,90.7,91.65,91.1,93.47,15062381,140792077355000.0,70246.0,3789796.0,0.2516
2020-05-06,GAIL,EQ,91.1,92.0,95.0,89.7,94.7,94.7,93.3,14956012,139533651390000.02,66488.0,4092764.0,0.2737
2020-05-07,GAIL,EQ,94.7,95.3,96.25,91.05,91.3,91.5,93.44,13264771,123945871009999.98,66472.0,4548282.0,0.3429
2020-05-08,GAIL,EQ,91.5,94.75,94.75,90.9,91.0,91.35,92.22,8976092,82777748320000.0,59543.0,2436028.0,0.27140000000000003
2020-05-11,GAIL,EQ,91.35,92.0,94.6,91.4,91.7,92.05,93.27,7853973,73253894700000.0,76640.0,2364328.0,0.30100000000000005
2020-05-12,GAIL,EQ,92.05,91.95,94.1,88.25,88.65,88.7,89.76,14162770,127124065709999.98,80449.0,6463511.0,0.45640000000000003
2020-05-13,GAIL,EQ,88.7,92.0,92.0,87.25,89.3,89.35,89.3,13853484,123711251359999.98,88446.0,4556469.0,0.3289
2020-05-14,GAIL,EQ,89.35,89.25,89.25,85.1,85.5,85.45,86.14,13034092,112272924759999.98,85001.0,5700367.0,0.43729999999999997
2020-05-15,GAIL,EQ,85.45,86.1,86.8,84.75,85.8,85.8,85.86,12041344,103391776695000.0,44761.0,5233100.0,0.43460000000000004
2020-05-18,GAIL,EQ,85.8,86.1,86.75,80.5,81.0,81.0,82.31,14440594,118853902234999.98,60495.0,7427623.0,0.5144
2020-05-19,GAIL,EQ,81.0,82.5,83.35,80.65,81.7,81.85,82.18,17936322,147397682695000.0,65599.0,7914743.0,0.4413
2020-05-20,GAIL,EQ,81.85,81.85,86.95,81.3,86.4,86.25,84.6,16541795,139936613815000.02,76113.0,3716129.0,0.22469999999999998
2020-05-21,GAIL,EQ,86.25,86.4,88.2,85.5,88.05,87.95,87.22,12867616,112230887800000.0,58735.0,4559238.0,0.3543
2020-05-22,GAIL,EQ,87.95,87.25,87.7,85.0,87.2,87.2,86.35,7514724,64890656979999.99,38680.0,2216574.0,0.295
