Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-05-04,HDFCBANK,EQ,1001.8,957.5,960.0,917.5,924.9,923.0,932.42,13361177,1245816694610000.0,383166.0,6246738.0,0.4675
2020-05-05,HDFCBANK,EQ,923.0,938.0,944.0,908.05,914.5,911.45,928.05,14837190,1376958359190000.0,298424.0,4848835.0,0.3268
2020-05-06,HDFCBANK,EQ,911.45,919.0,950.0,905.65,946.55,946.4,936.39,16893140,1581850198340000.0,310813.0,4169602.0,0.2468
2020-05-07,HDFCBANK,EQ,946.4,940.5,943.3,921.35,927.3,925.0,930.31,10916003,1015530960554999.9,226640.0,3399155.0,0.3114
2020-05-08,HDFCBANK,EQ,925.0,942.0,943.95,925.2,930.0,929.05,932.46,10403747,970106899485000.0,176643.0,3723731.0,0.3579
2020-05-11,HDFCBANK,EQ,929.05,937.0,954.0,914.0,915.9,915.8,934.32,14275392,1333775931560000.0,316129.0,5926950.0,0.4152
2020-05-12,HDFCBANK,EQ,915.8,901.0,909.4,871.1,902.5,901.55,888.33,24784324,2201657113250000.0,516512.0,9460568.0,0.38170000000000004
2020-05-13,HDFCBANK,EQ,901.55,951.0,960.0,922.1,928.95,927.65,938.46,22173554,2080900986275000.0,396148.0,9094925.0,0.41020000000000006
2020-05-14,HDFCBANK,EQ,927.65,898.0,911.0,890.0,893.85,893.7,899.79,19777445,1779552926015000.2,364023.0,8394283.0,0.4244
2020-05-15,HDFCBANK,EQ,893.7,890.5,892.4,875.0,888.0,888.15,885.0,12174870,1077479713475000.0,280499.0,4280446.0,0.35159999999999997
2020-05-18,HDFCBANK,EQ,888.15,888.0,888.0,831.3,838.0,836.65,847.83,23326656,1977695402630000.0,533951.0,10660724.0,0.457
2020-05-19,HDFCBANK,EQ,836.65,860.85,867.3,826.1,832.85,830.65,846.32,23730561,2008376636100000.0,415550.0,8905443.0,0.3753
2020-05-20,HDFCBANK,EQ,830.65,836.45,864.0,832.2,863.5,857.1,844.42,20007413,1689473859295000.0,359835.0,8748975.0,0.43729999999999997
2020-05-21,HDFCBANK,EQ,857.1,861.45,884.0,852.3,860.4,859.55,870.64,24239683,2110407491084999.8,416994.0,10837256.0,0.4471
