Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-05-04,IOC,EQ,84.2,82.65,82.7,79.5,79.8,79.75,80.39,12277492,98700894575000.0,80094.0,5916724.0,0.4819
2020-05-05,IOC,EQ,79.75,81.0,82.0,78.4,78.8,78.7,80.32,13552151,108849805640000.02,61616.0,4663499.0,0.34409999999999996
2020-05-06,IOC,EQ,78.7,76.8,77.3,72.8,76.8,76.55,75.6,26298393,198802907940000.0,123378.0,6229776.0,0.23690000000000003
2020-05-07,IOC,EQ,76.55,76.85,77.0,75.6,75.75,75.75,76.07,13425918,102131256235000.0,59405.0,5300291.0,0.3948
2020-05-08,IOC,EQ,75.75,76.1,77.0,74.05,74.5,74.35,75.14,14534653,109214030955000.0,87417.0,6326857.0,0.4353
2020-05-11,IOC,EQ,74.35,75.55,76.3,74.8,75.45,75.35,75.38,12903300,97268285590000.0,85975.0,5201548.0,0.4031
2020-05-12,IOC,EQ,75.35,75.85,76.7,74.6,74.95,74.9,75.37,16302858,122875900150000.0,77409.0,5006477.0,0.30710000000000004
2020-05-13,IOC,EQ,74.9,77.9,77.9,75.75,76.35,76.0,76.21,18240702,139013666220000.0,93813.0,7522494.0,0.41240000000000004
2020-05-14,IOC,EQ,76.0,76.0,76.45,75.0,75.15,75.15,75.49,9059402,68390375695000.01,43679.0,3765543.0,0.4157
2020-05-15,IOC,EQ,75.15,75.75,76.4,75.2,75.5,75.5,75.9,15818086,120062173940000.02,62382.0,6457217.0,0.4082
2020-05-18,IOC,EQ,75.5,75.55,75.8,71.15,71.5,71.55,72.6,17698491,128485190420000.0,93276.0,7289080.0,0.4118
2020-05-19,IOC,EQ,71.55,72.85,73.4,71.8,72.25,72.05,72.56,12402582,89994304945000.0,52859.0,3420734.0,0.2758
2020-05-20,IOC,EQ,72.05,72.35,74.5,71.9,74.1,74.1,73.63,12925558,95172976570000.0,48348.0,3250128.0,0.2514
2020-05-21,IOC,EQ,74.1,74.1,74.95,73.0,74.35,74.45,74.17,10240766,75952134725000.0,50131.0,2467492.0,0.2409
2020-05-22,IOC,EQ,74.45,73.75,75.9,72.8,75.65,75.5,74.67,14476537,108091807945000.0,62076.0,3322934.0,0.2295
2020-05-26,IOC,EQ,75.5,76.6,77.85,76.15,77.25,77.15,77.22,15486146,119590257125000.0,65259.0,5481078.0,0.3539
2020-05-27,IOC,EQ,77.15,77.2,77.95,76.0,77.65,77.55,76.74,14315336,109853090850000.0,50966.0,4760430.0,0.3325
2020-05-28,IOC,EQ,77.55,77.4,78.8,77.2,77.75,77.7,77.93,9978005,77753884535000.0,42687.0,2391362.0,0.2397
2020-05-29,IOC,EQ,77.7,77.7,84.7,77.2,83.5,83.2,81.4,34572984,281420705425000.0,107097.0,15806315.0,0.4572
2020-06-01,IOC,EQ,83.2,85.3,87.25,84.5,86.25,86.15,86.01,29796065,256270129410000.0,107316.0,8807825.0,0.2956
2020-06-02,IOC,EQ,86.15,86.6,86.85,84.75,85.95,85.8,85.66,17989429,154096260065000.0,72550.0,5801276.0,0.3225
2020-06-03,IOC,EQ,85.8,86.3,88.9,86.1,87.05,87.0,87.62,19472942,170630324865000.0,84462.0,5733540.0,0.2944
2020-06-04,IOC,EQ,87.0,86.05,86.65,84.1,85.5,85.9,85.27,29273591,249626350010000.0,79662.0,14467543.0,0.49420000000000003
2020-06-05,IOC,EQ,85.9,86.6,90.05,86.2,89.55,89.4,88.58,24128677,213733028965000.0,93747.0,7093289.0,0.294
2020-06-08,IOC,EQ,89.4,92.9,96.4,92.1,93.35,93.1,93.98,39389102,370178431735000.0,147040.0,11660947.0,0.29600000000000004
2020-06-09,IOC,EQ,93.1,93.35,93.6,90.1,90.7,90.65,91.71,16781255,153892793210000.0,76418.0,3820865.0,0.2277
2020-06-10,IOC,EQ,90.65,90.6,91.95,89.1,90.1,89.95,90.07,13668132,123108351395000.0,57728.0,2881092.0,0.2108
2020-06-11,IOC,EQ,89.95,90.1,93.35,87.9,88.65,88.35,90.85,29700148,269839150190000.0,112293.0,6478408.0,0.2181
2020-06-12,IOC,EQ,88.35,85.0,88.55,85.0,88.35,88.3,87.26,21617576,188644813320000.0,75833.0,3709892.0,0.1716
2020-06-15,IOC,EQ,88.3,88.15,88.2,85.9,86.1,86.2,86.96,35101481,305256513300000.0,62405.0,21889645.0,0.6236
2020-06-16,IOC,EQ,86.2,87.35,88.25,83.85,84.85,84.85,86.05,18620672,160230800080000.0,59588.0,6229125.0,0.3345
2020-06-17,IOC,EQ,84.85,84.5,85.85,83.85,84.3,84.35,84.9,12560184,106638649985000.0,52485.0,3726808.0,0.2967
2020-06-18,IOC,EQ,84.35,84.3,85.5,83.75,85.2,84.85,84.79,14843028,125859295700000.0,48307.0,5513722.0,0.3715
2020-06-19,IOC,EQ,84.85,86.0,86.1,84.7,85.3,85.3,85.25,21537953,183613661005000.0,58110.0,10299820.0,0.4782
2020-06-22,IOC,EQ,85.3,85.85,88.3,85.5,88.2,88.05,87.27,22605365,197270467575000.0,80834.0,8173263.0,0.3616
2020-06-23,IOC,EQ,88.05,88.8,90.5,88.15,89.5,89.35,89.29,31797103,283904806360000.0,82766.0,10143807.0,0.6756000000000001
2020-06-24,IOC,EQ,89.35,90.5,90.5,86.05,87.0,87.1,88.6,29648026,262693804505000.03,118530.0,13102983.0,0.44200000000000006
2020-06-25,IOC,EQ,87.1,85.2,88.1,84.7,85.25,85.05,85.97,25734149,221247106310000.0,89407.0,6703496.0,0.2605
2020-06-26,IOC,EQ,85.05,85.9,89.95,85.75,89.1,89.15,88.77,46496322,412738686530000.0,152542.0,15320082.0,0.3295
2020-06-29,IOC,EQ,89.15,89.5,90.7,86.5,87.15,87.1,87.99,21451435,188756845575000.0,75857.0,4873113.0,0.22719999999999999
2020-06-30,IOC,EQ,87.1,88.3,88.45,84.75,85.6,85.35,86.15,16344707,140802097660000.0,64626.0,6174420.0,0.3778
2020-07-01,IOC,EQ,85.35,85.65,86.15,84.3,85.75,85.65,85.29,14331346,122233486650000.0,49591.0,3496851.0,0.244
2020-07-02,IOC,EQ,85.65,86.5,88.9,85.95,88.45,88.35,87.98,23312656,205113165405000.0,76107.0,5315746.0,0.228
2020-07-03,IOC,EQ,88.35,88.4,89.1,87.2,87.8,87.85,87.89,9989790,87796348670000.0,36973.0,1821611.0,0.18230000000000002
2020-07-06,IOC,EQ,87.85,88.05,89.35,87.0,87.9,87.95,88.35,13522961,119472852034999.98,47163.0,3878430.0,0.2868
2020-07-07,IOC,EQ,87.95,88.0,88.05,85.9,86.2,86.15,86.55,12790857,110701998000000.0,52845.0,5003825.0,0.3912
2020-07-08,IOC,EQ,86.15,86.25,88.9,86.05,86.8,86.95,87.33,16678756,145650608800000.0,57392.0,4414426.0,0.2647
2020-07-09,IOC,EQ,86.95,87.45,88.45,86.0,86.8,86.5,87.09,15305046,133297512930000.0,48027.0,4891082.0,0.3196
2020-07-10,IOC,EQ,86.5,86.45,86.55,85.4,86.15,86.15,85.99,11091008,95372187925000.0,38811.0,2916233.0,0.2629
2020-07-13,IOC,EQ,86.15,87.0,87.75,86.2,87.3,87.4,87.09,16659178,145090851325000.0,47168.0,4681902.0,0.281
2020-07-14,IOC,EQ,87.4,86.75,87.8,85.9,86.3,86.4,86.62,15345709,132922174955000.0,39690.0,5675746.0,0.3699
2020-07-15,IOC,EQ,86.4,86.8,87.0,85.1,85.3,85.65,85.88,16532721,141977793605000.0,51982.0,5665783.0,0.34270000000000006
2020-07-16,IOC,EQ,85.65,85.45,85.55,82.5,84.0,84.25,83.7,22609832,189244221200000.0,78847.0,6172185.0,0.273
2020-07-17,IOC,EQ,84.25,84.65,87.7,83.55,86.9,86.9,86.15,51152122,440695933510000.06,119946.0,16684022.0,0.3262
2020-07-20,IOC,EQ,86.9,86.95,88.5,86.15,88.4,88.3,87.79,20607847,180918887590000.0,63264.0,6244532.0,0.303
2020-07-21,IOC,EQ,88.3,88.3,94.7,87.7,93.3,93.45,92.45,93905218,868187209885000.0,236234.0,21853542.0,0.2327
2020-07-22,IOC,EQ,93.45,93.55,94.2,91.5,91.7,92.0,93.05,30482054,283650259160000.0,92171.0,5535871.0,0.1816
2020-07-23,IOC,EQ,92.0,91.75,95.45,91.2,94.25,94.3,94.39,44920975,424015503150000.0,113747.0,5405784.0,0.12029999999999999
2020-07-24,IOC,EQ,94.3,93.9,94.6,91.8,92.9,92.8,92.95,22611546,210176701515000.0,58247.0,2759677.0,0.122
2020-07-27,IOC,EQ,92.8,93.6,95.65,91.4,93.5,93.75,94.2,39139215,368679158940000.0,102982.0,5419148.0,0.1385
2020-07-28,IOC,EQ,93.75,93.75,95.25,92.65,93.3,93.4,93.97,24585687,231020999340000.0,73004.0,5891656.0,0.2396
2020-07-29,IOC,EQ,93.4,92.3,93.7,92.05,92.55,92.6,92.84,14883656,138187101290000.02,42777.0,2424765.0,0.1629
2020-07-30,IOC,EQ,92.6,92.0,92.5,87.6,88.9,88.55,89.56,43622365,390673463255000.0,134336.0,13672799.0,0.3134
2020-07-31,IOC,EQ,88.55,89.3,89.95,87.25,88.55,88.45,88.59,41414494,366884985995000.0,109264.0,10884719.0,0.26280000000000003
2020-08-03,IOC,EQ,88.45,88.35,88.35,85.4,85.5,86.2,86.75,31446437,272810943485000.0,67061.0,12280024.0,0.39049999999999996
2020-08-04,IOC,EQ,86.2,86.3,87.45,85.8,86.85,86.95,86.84,25498635,221432684665000.0,48206.0,7230754.0,0.2836
2020-08-05,IOC,EQ,86.95,87.0,88.05,86.3,86.75,86.6,87.25,21667810,189058526820000.0,48032.0,6492960.0,0.2997
2020-08-06,IOC,EQ,86.6,86.8,88.2,86.3,87.4,87.2,87.38,19663459,171811626745000.0,43397.0,3911369.0,0.19890000000000002
