Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-05-04,ONGC,EQ,79.9,76.0,77.85,74.05,76.35,76.55,76.09,28642245,217946175860000.0,124761.0,7150817.0,0.2497
2020-05-05,ONGC,EQ,76.55,78.9,81.9,78.15,78.6,78.45,80.43,61865518,497578822945000.0,221378.0,14517931.0,0.2347
2020-05-06,ONGC,EQ,78.45,81.35,81.35,77.45,79.25,79.25,79.45,38948341,309440273300000.0,137239.0,10290232.0,0.26420000000000005
2020-05-07,ONGC,EQ,79.25,78.3,78.3,75.1,75.95,75.6,76.32,20806305,158799746480000.0,96892.0,6895862.0,0.33140000000000003
2020-05-08,ONGC,EQ,75.6,76.4,77.2,74.75,75.65,76.0,75.85,18523906,140502992505000.0,77073.0,4546215.0,0.2454
2020-05-11,ONGC,EQ,76.0,76.0,78.15,74.5,77.05,77.05,76.84,15701778,120658154655000.0,66522.0,4515581.0,0.2876
2020-05-12,ONGC,EQ,77.05,76.95,77.35,74.5,76.5,76.3,75.95,14186808,107742729105000.0,59086.0,3058016.0,0.21559999999999999
2020-05-13,ONGC,EQ,76.3,79.0,79.05,76.25,78.1,78.2,77.77,20494837,159383290185000.0,89294.0,7893502.0,0.3851
2020-05-14,ONGC,EQ,78.2,77.0,77.35,75.2,76.2,76.15,76.06,13346163,101514681795000.0,50828.0,5530562.0,0.4144
2020-05-15,ONGC,EQ,76.15,77.25,78.5,75.9,76.0,76.15,76.85,16836413,129380267470000.0,75327.0,3766737.0,0.2237
2020-05-18,ONGC,EQ,76.15,76.95,76.95,72.4,72.7,72.9,74.15,13015452,96505249670000.0,69580.0,3832368.0,0.2944
2020-05-19,ONGC,EQ,72.9,74.4,78.7,74.1,77.05,77.15,77.46,42316096,327789129155000.0,168736.0,11553239.0,0.273
2020-05-20,ONGC,EQ,77.15,77.2,78.5,76.3,78.1,78.0,77.92,12969876,101061075025000.0,57081.0,3412645.0,0.2631
2020-05-21,ONGC,EQ,78.0,78.75,79.0,76.4,76.9,77.0,77.17,17999916,138899009309999.98,69707.0,6413840.0,0.3563
2020-05-22,ONGC,EQ,77.0,76.95,76.95,75.4,76.5,76.15,76.12,12443833,94723989590000.0,52803.0,2797117.0,0.2248
2020-05-26,ONGC,EQ,76.15,77.0,78.2,76.6,76.85,77.0,77.55,11840048,91813990995000.0,48173.0,3199953.0,0.27030000000000004
2020-05-27,ONGC,EQ,77.0,77.2,78.2,75.9,78.0,77.95,77.37,11656180,90183992490000.0,43425.0,3385122.0,0.2904
2020-05-28,ONGC,EQ,77.95,77.5,80.95,77.4,78.75,78.85,79.22,18646208,147723514535000.0,72014.0,5281435.0,0.2832
2020-05-29,ONGC,EQ,78.85,78.05,83.75,77.4,82.9,83.2,81.53,40559737,330666807635000.0,112919.0,21357663.0,0.5266
2020-06-01,ONGC,EQ,83.2,85.0,86.5,83.65,84.2,83.95,84.86,25048603,212569734120000.0,100710.0,7735270.0,0.3088
2020-06-02,ONGC,EQ,83.95,84.45,84.9,82.6,84.4,84.3,83.69,15368224,128623778650000.0,80207.0,4563625.0,0.297
