Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-05-04,VEDL,EQ,89.55,82.65,83.7,77.4,80.2,79.95,80.87,33175416,268274465430000.03,149422.0,10937189.0,0.3297
2020-05-05,VEDL,EQ,79.95,81.8,83.2,78.5,79.05,78.9,80.83,29105785,235269644955000.03,106141.0,5376849.0,0.1847
2020-05-06,VEDL,EQ,78.9,79.7,80.9,77.95,79.3,79.45,79.66,20997197,167255793545000.0,70335.0,3239275.0,0.1543
2020-05-07,VEDL,EQ,79.45,78.9,80.6,78.05,78.8,78.55,79.21,15605038,123614314605000.0,58156.0,2701394.0,0.1731
2020-05-08,VEDL,EQ,78.55,80.6,80.8,77.05,77.4,77.4,78.77,15998934,126029244270000.0,62625.0,3774868.0,0.2359
2020-05-11,VEDL,EQ,77.4,78.85,80.5,78.0,80.35,79.6,79.35,33344596,264583464935000.0,98708.0,13334297.0,0.39990000000000003
2020-05-12,VEDL,EQ,79.6,79.45,90.5,79.05,89.5,89.05,85.13,112770254,960020558404999.9,323785.0,18964439.0,0.16820000000000002
2020-05-13,VEDL,EQ,89.05,97.95,97.95,88.5,90.1,90.25,91.57,145841554,1335400456930000.0,430280.0,29449377.0,0.20190000000000002
2020-05-14,VEDL,EQ,90.25,88.4,91.8,87.75,89.2,89.15,89.9,38572778,346752717645000.0,123277.0,6698129.0,0.1736
2020-05-15,VEDL,EQ,89.15,90.0,95.55,88.2,92.6,92.95,92.48,75496782,698191063220000.0,225249.0,9827779.0,0.1302
2020-05-18,VEDL,EQ,92.95,93.95,95.65,90.1,92.45,92.5,93.4,88008676,822014486755000.0,263816.0,16407723.0,0.1864
2020-05-19,VEDL,EQ,92.5,93.25,93.8,89.55,90.05,90.0,91.22,36133110,329601475975000.0,111226.0,8424770.0,0.23320000000000002
2020-05-20,VEDL,EQ,90.0,90.05,90.55,88.25,88.55,88.55,89.04,21380770,190384624260000.0,78459.0,7167309.0,0.33520000000000005
2020-05-21,VEDL,EQ,88.55,89.0,91.75,88.15,90.2,90.2,89.94,31501740,283336783510000.0,112629.0,6926852.0,0.21989999999999998
2020-05-22,VEDL,EQ,90.2,90.0,90.4,88.6,89.0,89.1,89.23,15805466,141036006040000.0,67856.0,3890453.0,0.2461
2020-05-26,VEDL,EQ,89.1,89.5,90.25,87.55,87.85,87.9,88.85,17958373,159568442000000.0,58576.0,5692053.0,0.317
2020-05-27,VEDL,EQ,87.9,88.5,88.95,86.25,87.95,87.9,87.74,17368769,152390655520000.0,60588.0,4652813.0,0.26789999999999997
2020-05-28,VEDL,EQ,87.9,88.9,90.95,88.05,90.15,89.95,89.59,22037867,197439172045000.0,80171.0,7081149.0,0.32130000000000003
2020-05-29,VEDL,EQ,89.95,89.6,92.7,89.0,91.85,92.2,91.61,34104166,312443598695000.0,105462.0,15421739.0,0.4522
2020-06-01,VEDL,EQ,92.2,93.3,97.05,92.75,93.75,93.65,94.95,23682719,224860013255000.03,113889.0,7810700.0,0.3298
2020-06-02,VEDL,EQ,93.65,94.5,97.25,93.35,96.55,96.9,95.78,22601994,216492736900000.0,92270.0,4958437.0,0.2194
2020-06-03,VEDL,EQ,96.9,97.5,102.5,95.9,97.35,96.7,99.21,37933329,376342906880000.0,138069.0,7757075.0,0.2045
2020-06-04,VEDL,EQ,96.7,96.95,105.2,96.1,104.15,104.4,101.73,55983342,569510297240000.0,192343.0,13590273.0,0.24280000000000002
2020-06-05,VEDL,EQ,104.4,105.1,106.25,102.9,105.5,105.3,104.33,33224183,346621261245000.0,126724.0,6793754.0,0.2045
2020-06-08,VEDL,EQ,105.3,102.0,111.15,102.0,105.1,105.1,106.79,54422398,581155232930000.0,199021.0,8670269.0,0.1593
2020-06-09,VEDL,EQ,105.1,105.1,108.25,103.7,104.2,104.6,105.81,23311112,246654857650000.0,96394.0,3876752.0,0.1663
2020-06-10,VEDL,EQ,104.6,104.6,108.75,104.3,106.35,106.1,106.85,29455782,314741969500000.0,125410.0,5659676.0,0.19210000000000002
2020-06-11,VEDL,EQ,106.1,104.9,106.7,100.0,102.6,101.05,103.76,21080028,218722289460000.0,96831.0,8015184.0,0.38020000000000004
2020-06-12,VEDL,EQ,101.05,96.9,103.95,96.9,102.5,103.3,101.96,33223448,338751113890000.0,124274.0,7287334.0,0.2193
2020-06-15,VEDL,EQ,103.3,104.0,105.3,101.5,102.4,102.4,103.17,20562556,212140077325000.0,89137.0,3969523.0,0.193
2020-06-16,VEDL,EQ,102.4,105.0,105.9,101.65,103.95,103.85,104.09,22657943,235855757000000.0,76290.0,5450730.0,0.24059999999999998
2020-06-17,VEDL,EQ,103.85,103.8,104.15,101.8,102.15,102.1,102.96,11401300,117383540755000.0,44371.0,3028391.0,0.2656
2020-06-18,VEDL,EQ,102.1,102.8,107.8,102.0,106.9,107.0,105.84,27586795,291987022235000.0,97625.0,6224332.0,0.2256
2020-06-19,VEDL,EQ,107.0,108.45,109.4,104.45,105.65,105.25,106.27,33760231,358761334675000.0,105942.0,12889747.0,0.38180000000000003
2020-06-22,VEDL,EQ,105.25,105.35,111.7,104.75,110.0,110.05,108.49,27109192,294095020870000.0,108419.0,6143309.0,0.2266
2020-06-23,VEDL,EQ,110.05,110.05,111.9,109.05,109.9,110.0,110.33,20720200,228616092980000.03,83731.0,2621178.0,0.2545
2020-06-24,VEDL,EQ,110.0,111.0,113.5,107.6,110.0,109.45,110.58,28610666,316380126285000.0,110287.0,8159365.0,0.2852
2020-06-25,VEDL,EQ,109.45,108.95,112.25,108.0,110.95,111.25,110.34,26667328,294256329845000.0,91679.0,6467563.0,0.2425
2020-06-26,VEDL,EQ,111.25,112.75,113.25,109.3,110.15,109.95,111.42,24544467,273467038665000.0,92831.0,7019713.0,0.28600000000000003
2020-06-29,VEDL,EQ,109.95,110.0,110.0,105.55,108.0,107.95,107.46,16927577,181897068100000.0,56912.0,6159923.0,0.3639
2020-06-30,VEDL,EQ,107.95,108.45,110.4,105.4,106.3,106.4,107.17,13699750,146815108305000.0,56247.0,4735217.0,0.3456
2020-07-01,VEDL,EQ,106.4,106.4,108.8,105.95,107.8,107.7,107.7,11412484,122917874034999.98,41329.0,3303367.0,0.2895
