Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-05-04,ZEEL,EQ,159.35,150.0,152.0,143.45,147.4,146.4,145.92,14571211,212617556620000.0,117896.0,4041841.0,0.2774
2020-05-05,ZEEL,EQ,146.4,150.8,155.45,146.9,148.5,148.4,151.63,22539682,341767159365000.0,168398.0,1900769.0,0.0843
2020-05-06,ZEEL,EQ,148.4,150.0,154.5,147.0,153.1,152.65,150.53,13699211,206215231715000.0,105527.0,1786944.0,0.1304
2020-05-07,ZEEL,EQ,152.65,151.95,154.2,146.1,148.1,147.35,150.25,8145342,122385738320000.0,81635.0,1814913.0,0.22280000000000003
2020-05-08,ZEEL,EQ,147.35,152.85,158.75,148.1,151.0,150.65,153.78,30517485,469282990014999.94,195973.0,3974645.0,0.1302
2020-05-11,ZEEL,EQ,150.65,153.95,161.85,153.25,155.85,155.4,157.57,32288081,508768082900000.0,214057.0,4132776.0,0.128
2020-05-12,ZEEL,EQ,155.4,155.25,156.4,148.05,155.65,155.05,151.49,17380917,263295600100000.0,115644.0,1787365.0,0.1028
2020-05-13,ZEEL,EQ,155.05,161.0,168.5,155.2,167.0,165.15,161.39,27811754,448851136039999.94,187333.0,5045077.0,0.1814
2020-05-14,ZEEL,EQ,165.15,163.0,172.95,156.6,168.65,169.65,164.12,32118963,527129890995000.0,213916.0,1788405.0,0.055700000000000006
2020-05-15,ZEEL,EQ,169.65,166.7,172.2,162.5,163.5,164.2,167.2,28283411,472889247439999.94,188588.0,2386517.0,0.0844
2020-05-18,ZEEL,EQ,164.2,163.5,164.3,148.05,148.6,149.5,152.92,23890131,365330249375000.0,163882.0,4208312.0,0.17620000000000002
2020-05-19,ZEEL,EQ,149.5,152.0,155.7,148.05,150.75,150.25,152.16,21833565,332211693610000.0,150223.0,4388386.0,0.201
2020-05-20,ZEEL,EQ,150.25,150.45,154.65,149.35,153.2,153.55,152.82,13737028,209925847330000.0,94691.0,1911081.0,0.1391
2020-05-21,ZEEL,EQ,153.55,155.1,159.5,152.85,153.6,153.95,156.65,15507263,242914098644999.97,107370.0,1486865.0,0.0959
2020-05-22,ZEEL,EQ,153.95,153.6,165.0,152.0,164.9,163.25,160.45,38378398,615787427830000.0,247438.0,5580384.0,0.1454
2020-05-26,ZEEL,EQ,163.25,164.0,166.6,159.35,164.3,165.2,162.96,19510832,317957260805000.0,137985.0,2126889.0,0.109
2020-05-27,ZEEL,EQ,165.2,165.0,166.3,161.7,163.55,164.45,163.77,14838387,243009505030000.03,92686.0,1397636.0,0.0942
2020-05-28,ZEEL,EQ,164.45,164.4,189.05,163.3,180.2,180.7,178.3,71029787,1266447046635000.0,383014.0,7807378.0,0.1099
2020-05-29,ZEEL,EQ,180.7,175.2,186.8,175.1,182.0,183.55,182.95,38399714,702538736870000.0,229858.0,3722808.0,0.0969
2020-06-01,ZEEL,EQ,183.55,187.75,192.4,184.1,185.0,185.9,188.14,26450304,497623971489999.94,159594.0,3021688.0,0.1142
2020-06-02,ZEEL,EQ,185.9,186.0,202.8,185.3,202.75,198.95,195.31,40657815,794093320700000.0,246664.0,3194609.0,0.0786
2020-06-03,ZEEL,EQ,198.95,204.95,205.2,192.7,195.0,195.7,200.19,24965864,499788939130000.0,171668.0,3970019.0,0.159
2020-06-04,ZEEL,EQ,195.7,195.0,207.8,187.2,206.5,205.6,198.87,47567806,945997265740000.0,240531.0,4125857.0,0.0867
2020-06-05,ZEEL,EQ,205.6,207.0,210.45,202.35,207.8,206.2,206.41,36525491,753937274375000.0,208775.0,2479653.0,0.0679
2020-06-08,ZEEL,EQ,206.2,209.3,210.5,194.35,197.0,197.05,200.97,27557276,553817739550000.0,181453.0,5439286.0,0.1974
2020-06-09,ZEEL,EQ,197.05,199.0,202.3,190.8,191.0,192.4,196.44,27072604,531818889810000.06,166494.0,2573918.0,0.0951
2020-06-10,ZEEL,EQ,192.4,193.0,194.6,188.1,190.75,189.8,190.64,17134647,326656290335000.0,114723.0,1903257.0,0.11109999999999999
2020-06-11,ZEEL,EQ,189.8,190.75,191.15,174.8,177.0,175.95,183.07,21396814,391714084535000.0,170452.0,5272625.0,0.2464
2020-06-12,ZEEL,EQ,175.95,172.0,172.0,162.15,168.1,168.55,167.75,36219996,607585818210000.0,235590.0,9375459.0,0.2588
2020-06-15,ZEEL,EQ,168.55,168.55,177.0,163.5,165.6,165.5,170.56,46158536,787271849095000.0,282739.0,6362571.0,0.1378
2020-06-16,ZEEL,EQ,165.5,170.6,171.95,161.1,164.0,163.9,167.07,25974595,433954491625000.0,166602.0,4420151.0,0.1702
2020-06-17,ZEEL,EQ,163.9,163.95,169.4,161.7,165.45,165.0,166.37,24991838,415797161505000.0,148052.0,3686992.0,0.1475
2020-06-18,ZEEL,EQ,165.0,166.5,175.45,165.5,173.95,174.4,171.7,37917230,651043757085000.0,228566.0,6966297.0,0.1837
2020-06-19,ZEEL,EQ,174.4,176.8,178.2,169.35,173.5,172.95,174.35,27707426,483078361085000.06,170470.0,6132860.0,0.2213
2020-06-22,ZEEL,EQ,172.95,175.0,180.0,174.0,176.8,177.05,177.63,20657312,366944485430000.0,137586.0,3200135.0,0.1549
2020-06-23,ZEEL,EQ,177.05,176.9,186.9,176.05,182.45,181.95,181.41,21411859,388424990305000.0,128719.0,1818340.0,0.26539999999999997
